#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Workers per class in absolute numbers
1,Agriculture,C,From 0 to 9 persons employed,0.10473716088726014,0.8106294167158087,,0,3,2173408.261909958,
1,Agriculture,I,From 0 to 9 persons employed,0.005467210081769677,0.8106294167158087,,0,3,113450.46457871837,
1,Agriculture,Int,From 0 to 9 persons employed,0.2804402452610475,0.8106294167158087,,0,3,5819435.44066941,
2,Silviculture,C,From 0 to 9 persons employed,0.010509848049668794,0.14722522706550775,,0,3,218090.60307788866,
2,Silviculture,I,From 0 to 9 persons employed,0.0006367266966744997,0.14722522706550775,,0,3,13212.760890288006,
2,Silviculture,Int,From 0 to 9 persons employed,0.05980167995603218,0.14722522706550775,,0,3,1240948.9066869006,
3,Fishing,C,From 0 to 9 persons employed,0.010003850211726123,0.04214535621868368,,0,3,207590.6060168938,
3,Fishing,I,From 0 to 9 persons employed,5.2444628351256756e-05,0.04214535621868368,,0,3,1088.2822064855418,
3,Fishing,Int,From 0 to 9 persons employed,0.010253671917148634,0.04214535621868368,,0,3,212774.6739634574,
4,Mining and quarrying,C,From 0 to 9 persons employed,1.023618761842252e-05,1.0,0.0,0,9,212.41185603920664,1062.059280196033
4,Mining and quarrying,C,From 10 to 19 persons employed,2.7751441987723275e-06,1.0,0.0,10,19,57.58721430396268,863.8082145594402
4,Mining and quarrying,C,From 20 to 49 persons employed,1.8815087717671868e-06,1.0,0.0,20,49,39.04332211006369,1366.516273852229
4,Mining and quarrying,C,From 50 to 249 persons employed,7.2617789673449e-07,1.0,0.0,50,249,15.06896909376807,2260.34536406521
4,Mining and quarrying,C,250 persons employed or more,3.633846604539994e-07,1.0,0.0,250,2000,7.5406208893918345,7540.620889391835
4,Mining and quarrying,I,From 0 to 9 persons employed,1.0449277284080585e-06,1.0,0.0,0,9,21.68336948206434,108.41684741032167
4,Mining and quarrying,I,From 10 to 19 persons employed,2.8329151747951805e-07,1.0,0.0,10,19,5.87860239291522,88.1790358937283
4,Mining and quarrying,I,From 20 to 49 persons employed,1.9206766817405263e-07,1.0,0.0,20,49,3.9856098190842064,139.4963436679472
4,Mining and quarrying,I,From 50 to 249 persons employed,7.412949511488634e-08,1.0,0.0,50,249,1.5382664163231596,230.73996244847393
4,Mining and quarrying,I,250 persons employed or more,3.709493435848607e-08,1.0,0.0,250,2000,0.7697596166132838,769.7596166132838
4,Mining and quarrying,Int,From 0 to 9 persons employed,0.00027786058726697675,1.0,0.0,0,9,5765.90477447873,28829.523872393645
