#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row
1,Agriculture,C,From 0 to 9 persons employed,0.10473716088726014,0.8106294167158087,
1,Agriculture,I,From 0 to 9 persons employed,0.005467210081769677,0.8106294167158087,
1,Agriculture,Int,From 0 to 9 persons employed,0.2804402452610475,0.8106294167158087,
2,Silviculture,C,From 0 to 9 persons employed,0.010509848049668794,0.14722522706550775,
2,Silviculture,I,From 0 to 9 persons employed,0.0006367266966744997,0.14722522706550775,
2,Silviculture,Int,From 0 to 9 persons employed,0.05980167995603218,0.14722522706550775,
3,Fishing,C,From 0 to 9 persons employed,0.010003850211726123,0.04214535621868368,
3,Fishing,I,From 0 to 9 persons employed,5.2444628351256756e-05,0.04214535621868368,
3,Fishing,Int,From 0 to 9 persons employed,0.010253671917148634,0.04214535621868368,
4,Mining and quarrying,C,From 0 to 9 persons employed,1.023618761842252e-05,1.0,0.0
4,Mining and quarrying,C,From 10 to 19 persons employed,2.7751441987723275e-06,1.0,0.0
4,Mining and quarrying,C,From 20 to 49 persons employed,1.8815087717671868e-06,1.0,0.0
4,Mining and quarrying,C,From 50 to 249 persons employed,7.2617789673449e-07,1.0,0.0
4,Mining and quarrying,C,250 persons employed or more,3.633846604539994e-07,1.0,0.0
4,Mining and quarrying,I,From 0 to 9 persons employed,1.0449277284080585e-06,1.0,0.0
4,Mining and quarrying,I,From 10 to 19 persons employed,2.8329151747951805e-07,1.0,0.0
4,Mining and quarrying,I,From 20 to 49 persons employed,1.9206766817405263e-07,1.0,0.0
4,Mining and quarrying,I,From 50 to 249 persons employed,7.412949511488634e-08,1.0,0.0
4,Mining and quarrying,I,250 persons employed or more,3.709493435848607e-08,1.0,0.0
4,Mining and quarrying,Int,From 0 to 9 persons employed,0.00027786058726697675,1.0,0.0
4,Mining and quarrying,Int,From 10 to 19 persons employed,7.533109254793591e-05,1.0,0.0
4,Mining and quarrying,Int,From 20 to 49 persons employed,5.107342223097762e-05,1.0,0.0
4,Mining and quarrying,Int,From 50 to 249 persons employed,1.9712047528691032e-05,1.0,0.0
4,Mining and quarrying,Int,250 persons employed or more,9.864050847977673e-06,1.0,0.0
5,"Food, beverages and tobacco products",C,From 0 to 9 persons employed,0.0023786707253764727,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",C,From 10 to 19 persons employed,0.000453993606187445,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",C,From 20 to 49 persons employed,0.0002866458080982237,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",C,From 50 to 249 persons employed,0.0001385665217397804,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",C,250 persons employed or more,4.6403623249873764e-05,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",I,From 0 to 9 persons employed,1.8850781043716037e-09,0.1149449637505493,1.0
