Data extracted on 10/11/2024 22:55:33 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Use table at basic prices [naio_10_cp1610__custom_13696232];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;31/10/2024 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Million euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stock or flow;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geopolitical entity (reporting);;European Union - 27 countries (from 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND_USE (Labels);Total;;"Manufacture of food products; beverages and tobacco products";;Manufacture of textiles, wearing apparel, leather and related products;;"Manufacture of furniture; other manufacturing";;Sewerage, waste management, remediation activities;;"Motion picture, video, television programme production; programming and broadcasting activities";;Computer programming, consultancy, and information service activities;;Imputed rents of owner-occupied dwellings;;Real estate activities excluding imputed rents;;"Legal and accounting activities; activities of head offices; management consultancy activities";;"Other professional, scientific and technical activities; veterinary activities";;Security and investigation, service and landscape, office administrative and support activities;;Residential care activities and social work activities without accommodation;;"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities";;Final consumption expenditure;;Final consumption expenditure by government;;Final consumption expenditure by households;;Final consumption expenditure by non-profit organisations serving households (NPISH);;Gross capital formation;;Changes in inventories and acquisition less disposals of valuables;;Exports of goods and services;;Exports to EU members states;;Exports to non-member of the EU;;Exports to members of the euro area;;Exports to non-members of the euro area;;Gross fixed capital formation;;Total use;;Total final use;
PRD_AVA (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;16 939 701.18;;983 256.48;;149 771.07;;175 134.17;;171 307.78;;95 966.37;;496 191.44;;:;;443 570.91;;506 688.89;;77 958.1;;262 031.89;;131 771.48;;90 361.06;;10 868 100.48;;3 375 443.51;;7 283 949.99;;208 706.98;;3 680 502.16;;360 243.46;;3 291 159.74;;:;;3 291 159.74;;:;;:;;3 320 258.7;;34 779 463.55;;17 839 762.37;
Products of agriculture, hunting and related services;381 871.38;;267 542.11;;3 881.34;;130.82;;61.35;;31.28;;10.5;;:;;71.09;;66.68;;171.23;;3 770.57;;750.41;;172.8;;144 398.19;;1 756.62;;142 619.06;;22.52;;17 919.23;;10 474.61;;30 647.16;;:;;30 647.16;;:;;:;;7 444.62;;574 835.97;;192 964.59;
Products of forestry, logging and related services;42 864.37;;312.45;;10.71;;922.93;;10.99;;2.71;;0.31;;:;;17.07;;8.79;;4.05;;139.81;;11.95;;24.48;;8 414.53;;878.87;;7 533.2;;2.46;;11 542.35;;11 085.96;;2 148.11;;:;;2 148.11;;:;;:;;456.39;;64 969.36;;22 104.99;
"Fish and other fishing products; aquaculture products; support services to fishing";10 980.08;;6 627.63;;7.25;;8.8;;4.5;;4.62;;8.9;;:;;5.34;;7.24;;2.66;;6.19;;56.38;;5.98;;10 723.86;;10.07;;10 712.56;;1.23;;10.29;;-45.88;;575.75;;:;;575.75;;:;;:;;56.16;;22 289.98;;11 309.9;
Mining and quarrying;337 295.56;;2 658.86;;193.46;;674.16;;473.93;;15.35;;32.83;;:;;291.5;;226.4;;22.03;;527.55;;237.51;;32.69;;12 761.25;;333.07;;12 425.73;;2.45;;3 949.72;;2 681.28;;10 117.36;;:;;10 117.36;;:;;:;;1 268.44;;364 123.89;;26 828.33;
Food, beverages and tobacco products;508 405.01;;242 330.57;;2 159.99;;609.63;;923.16;;506.37;;848.36;;:;;473.38;;1 469.83;;477.04;;1 431.13;;8 053.61;;597.06;;695 495.73;;1 203.3;;694 013.1;;279.33;;36 173.44;;36 172.89;;154 747.91;;:;;154 747.91;;:;;:;;0.55;;1 394 822.1;;886 417.09;
Textiles, wearing apparel, leather and related products;121 877.73;;1 227.78;;56 968.48;;5 501.08;;557.24;;1 052.77;;337.64;;:;;780.63;;737.97;;708.66;;1 550.6;;1 280.62;;456.36;;160 780.4;;729.71;;159 969.25;;81.45;;31 169.67;;29 565.8;;61 689.96;;:;;61 689.96;;:;;:;;1 603.87;;375 517.77;;253 640.03;
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials";143 899.99;;2 956.61;;255.64;;19 065.9;;301.69;;325.67;;149.6;;:;;2 661.51;;229.57;;177.58;;1 697.6;;138.31;;217.23;;10 981.12;;0.47;;10 975.47;;5.18;;16 146.03;;6 849.82;;21 934.64;;:;;21 934.64;;:;;:;;9 296.21;;192 961.77;;49 061.78;
Paper and paper products;160 065.88;;18 548.17;;1 181.3;;2 675.52;;830.52;;1 070.15;;1 110.87;;:;;818.35;;2 963.25;;985.37;;4 181.22;;965.1;;467.68;;30 980.74;;165.9;;30 814.85;;0;;-1 069.33;;-1 069.85;;33 893.65;;:;;33 893.65;;:;;:;;0.52;;223 870.94;;63 805.06;
Printing and recording services;62 412.3;;1 521.95;;233.57;;416;;196.18;;1 712.55;;1 366.85;;:;;717.07;;2 580.36;;1 191.68;;3 351.83;;887.03;;1 175.19;;5 189.73;;7.16;;5 172.42;;10.15;;-701.06;;-706.8;;1 151.64;;:;;1 151.64;;:;;:;;5.73;;68 052.6;;5 640.3;
Coke and refined petroleum products;283 569.56;;3 247.98;;378.77;;944.18;;2 738.65;;388.54;;924.29;;:;;962.37;;1 895.03;;467.13;;2 271.81;;958.41;;505.97;;135 581.49;;523.49;;135 052.77;;5.22;;2 382.46;;2 382.46;;85 593.18;;:;;85 593.18;;:;;:;;0;;507 126.69;;223 557.13;
Chemicals and chemical products;534 811.08;;12 886.13;;9 847.24;;6 534.51;;2 082.52;;625.36;;601.64;;:;;2 842.05;;950.58;;941.69;;4 729.33;;1 320.08;;371.2;;61 680.95;;801.93;;60 878.33;;0.7;;11 915.36;;11 874.38;;196 447.33;;:;;196 447.33;;:;;:;;40.98;;804 854.72;;270 043.64;
Basic pharmaceutical products and pharmaceutical preparations;113 966.11;;2 417.59;;14.22;;164.88;;34.56;;1.33;;12.76;;:;;8.55;;167.66;;1 229.05;;314.67;;2 981.89;;7.91;;138 888.84;;79 285.51;;59 576.68;;26.66;;-7 889.94;;-7 890.3;;175 822.82;;:;;175 822.82;;:;;:;;0.36;;420 787.83;;306 821.73;
Rubber and plastic products;301 315.74;;19 590.58;;3 036.86;;7 008.74;;1 643.32;;313.3;;835.44;;:;;1 764.75;;1 322.12;;607.24;;3 952.01;;927.23;;335.6;;30 148.73;;121.55;;30 026.92;;0.27;;6 422.86;;2 462.18;;56 273.47;;:;;56 273.47;;:;;:;;3 960.68;;394 160.8;;92 845.06;
Other non-metallic mineral products;215 991.87;;6 810.3;;430.9;;2 143.32;;981.27;;17.94;;113.53;;:;;3 445.68;;362.3;;209.72;;1 886.92;;179.53;;206.49;;17 851.08;;1.36;;17 849.72;;0;;12 581.12;;5 532.65;;28 403.61;;:;;28 403.61;;:;;:;;7 048.47;;274 827.68;;58 835.81;
Basic metals;486 510.43;;1 712.08;;273.67;;11 475.71;;3 566.59;;80.07;;302.06;;:;;1 096.42;;173.08;;255.86;;686.12;;4.54;;65.2;;553.42;;0;;553.42;;0;;4 769.31;;1 442.06;;78 024.07;;:;;78 024.07;;:;;:;;3 327.25;;569 857.22;;83 346.79;
Fabricated metal products, except machinery and equipment;509 859.18;;10 412.24;;1 425.6;;8 791.25;;3 441.93;;149.5;;916.4;;:;;2 853.57;;878.17;;403.04;;3 576.01;;349.52;;405.37;;23 253.19;;196.82;;23 002.9;;53.47;;78 094.7;;7 846.52;;60 516.11;;:;;60 516.11;;:;;:;;70 248.18;;671 723.18;;161 864;
Computer, electronic and optical products;165 620.14;;304.18;;51.61;;2 637.26;;238.38;;2 044.67;;9 661.77;;:;;520.76;;1 255.64;;835.84;;2 174.48;;740.33;;741.92;;67 869.32;;1 540.29;;66 318.55;;10.49;;131 103.94;;31 309.48;;170 286.01;;:;;170 286.01;;:;;:;;99 794.45;;534 879.41;;369 259.27;
Electrical equipment;223 506.37;;787.58;;156.02;;2 098.86;;414.8;;151.87;;2 004.95;;:;;1 508.19;;1 169.55;;246.9;;1 561.62;;218.32;;372.08;;51 442.14;;36.66;;51 399.8;;5.67;;69 616.19;;21 467.55;;97 631.76;;:;;97 631.76;;:;;:;;48 148.64;;442 196.46;;218 690.09;
Machinery and equipment n.e.c.;280 046;;3 901.27;;863.4;;1 399.17;;1 290.49;;184.45;;673.7;;:;;622.67;;927.79;;317.9;;1 218.6;;316.92;;125.94;;9 480.13;;209.15;;9 267.8;;3.18;;258 877.22;;21 347.77;;264 060.26;;:;;264 060.26;;:;;:;;237 529.45;;812 463.6;;532 417.61;
Motor vehicles, trailers and semi-trailers;332 536.61;;589.47;;59.57;;337.51;;1 452.25;;115.22;;144.99;;:;;192.55;;319.63;;387.24;;826.48;;132.36;;70.25;;219 549.44;;64.9;;219 480.93;;3.61;;214 118.05;;47 611.65;;226 641.19;;:;;226 641.19;;:;;:;;166 506.4;;992 845.29;;660 308.68;
Other transport equipment;87 614.4;;32.61;;11.55;;519.94;;20.31;;3.13;;273.13;;:;;17.41;;11.69;;163.51;;253.31;;21.42;;17.79;;26 043.51;;1 178.74;;24 855.56;;9.22;;103 988.73;;2 203.36;;74 294.48;;:;;74 294.48;;:;;:;;101 785.37;;291 941.12;;204 326.72;
Furniture and other manufactured goods;84 434.67;;741.17;;541.54;;16 109;;196.58;;388.57;;437.35;;:;;943.99;;700.86;;640.77;;928.09;;1 875.5;;965.92;;114 616.27;;8 279.24;;106 309.34;;27.7;;74 027.84;;26 230.03;;75 655.31;;:;;75 655.31;;:;;:;;47 797.81;;348 734.09;;264 299.42;
Repair and installation services of machinery and equipment;203 693.79;;6 145.04;;1 179.4;;1 801.08;;2 122.86;;365.98;;1 603.99;;:;;6 918.33;;1 540.98;;657.36;;1 796.45;;1 151.38;;541.88;;2 563.56;;77.98;;2 484.86;;0.71;;93 056.56;;7 007.76;;17 726.03;;:;;17 726.03;;:;;:;;86 048.8;;317 039.93;;113 346.15;
Electricity, gas, steam and air conditioning;814 675.41;;23 280.59;;3 887.61;;3 083.68;;4 397.17;;3 443.45;;3 909.48;;:;;15 275.66;;5 653.8;;1 262.14;;3 560.15;;6 852.37;;2 920.21;;270 547.07;;1 810.37;;268 734.62;;2.08;;2 041.67;;1 777.77;;5 749.54;;:;;5 749.54;;:;;:;;263.9;;1 093 013.68;;278 338.27;
"Natural water; water treatment and supply services";36 097.2;;1 778.37;;187.28;;150.93;;1 768.02;;330.27;;175.85;;:;;2 403.94;;415.98;;80.08;;432.68;;973.33;;289.9;;32 826.32;;2 844.61;;29 980.71;;1;;106.5;;95.58;;17.15;;:;;17.15;;:;;:;;10.92;;69 047.17;;32 949.97;
"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services";250 530.33;;7 708.79;;1 954.04;;1 160.8;;60 541.65;;429.27;;1 625.19;;:;;8 472.35;;2 533.91;;770.41;;3 700.94;;1 806.99;;565.58;;71 934.98;;18 458.39;;53 456.88;;19.71;;767.92;;712.04;;11 719.11;;:;;11 719.11;;:;;:;;55.88;;334 952.34;;84 422.01;
Constructions and construction works;805 321.29;;5 515.5;;1 071.53;;1 469.3;;8 984.97;;1 518.49;;3 138.06;;:;;115 617.87;;5 779.34;;1 895.9;;6 588.11;;5 039.61;;2 711.13;;65 456.64;;7 232.99;;58 221.3;;2.36;;1 331 141.17;;20 523.87;;17 618.46;;:;;17 618.46;;:;;:;;1 310 617.3;;2 219 537.56;;1 414 216.27;
Wholesale and retail trade and repair services of motor vehicles and motorcycles;204 184.45;;2 656.89;;845.3;;1 081.68;;3 074.66;;878.2;;1 649.04;;:;;1 064.31;;2 374.16;;982.45;;2 273.47;;1 258.62;;749.91;;170 581;;881.72;;169 640.43;;58.86;;33 784.06;;1 148.55;;19 192.52;;:;;19 192.52;;:;;:;;32 635.51;;427 742.03;;223 557.58;
Wholesale trade services, except of motor vehicles and motorcycles;1 239 382.04;;107 827.99;;19 487.61;;28 386.21;;8 087.51;;3 495.66;;49 375.45;;:;;7 087.56;;10 905.26;;3 711.59;;13 557.02;;7 533.25;;3 372.53;;338 049.42;;20 340.09;;317 491.67;;217.66;;125 894.81;;19 311.66;;194 265.85;;:;;194 265.85;;:;;:;;106 583.15;;1 897 592.12;;658 210.08;
Retail trade services, except of motor vehicles and motorcycles;310 517.05;;27 763.57;;4 475.12;;6 953.8;;2 527.67;;2 982.47;;3 063.84;;:;;2 538.68;;2 835.52;;2 505.11;;3 888.56;;7 234;;2 216.64;;779 367.74;;35 232.06;;744 066.38;;69.3;;43 878.69;;11 532.85;;29 047.65;;:;;29 047.65;;:;;:;;32 345.85;;1 162 811.13;;852 294.09;
Land transport services and transport services via pipelines;638 746.86;;35 534.59;;5 265.6;;6 209.48;;4 362.3;;1 271;;4 018.79;;:;;1 331.13;;2 941.33;;870.39;;2 501.83;;2 403.01;;813.89;;178 555.07;;30 222.68;;148 278.33;;54.07;;22 333.27;;2 955.25;;58 452.5;;:;;58 452.5;;:;;:;;19 378.02;;898 087.7;;259 340.85;
Water transport services;68 399.74;;1 592.03;;202.67;;213.28;;161.54;;21.03;;190.07;;:;;42.77;;184.49;;51.8;;114.23;;149.81;;30.57;;19 576.96;;525.15;;19 049.52;;2.29;;-2 106.81;;-3 759.41;;153 100.22;;:;;153 100.22;;:;;:;;1 652.6;;238 970.1;;170 570.36;
Air transport services;56 780.2;;953.58;;253.24;;506.03;;187.68;;302.72;;662.92;;:;;146.15;;1 528.51;;263.89;;602.21;;236.5;;237.96;;36 367.31;;729.49;;35 637.65;;0.17;;2 216.34;;575.85;;43 845.45;;:;;43 845.45;;:;;:;;1 640.49;;139 209.3;;82 429.09;
Warehousing and support services for transportation;650 934.12;;23 690.15;;2 340.81;;2 213.55;;2 510.35;;558.79;;5 949.74;;:;;2 500.43;;4 777.75;;1 429.92;;3 196.12;;208.22;;519.79;;86 838.68;;55 482.1;;31 325.63;;30.95;;686.68;;172.1;;52 388.58;;:;;52 388.58;;:;;:;;514.58;;790 848.06;;139 913.94;
Postal and courier services;146 259.05;;1 192.88;;408.58;;1 268.61;;1 265.59;;558.31;;2 243.51;;:;;1 011.02;;5 905.72;;1 069.63;;2 250.34;;1 571.69;;958.85;;10 736.28;;27.15;;10 709.13;;0;;17.66;;17.66;;22 455.74;;:;;22 455.74;;:;;:;;0;;179 468.73;;33 209.68;
Accommodation and food services;228 827.55;;3 344.36;;1 295.34;;1 189.6;;1 399.23;;2 664.96;;7 779.03;;:;;2 935.18;;8 807.06;;1 472.25;;6 364.4;;6 925.2;;2 008.59;;592 970.89;;4 762.02;;585 974.21;;2 234.67;;8 696.96;;8 278.15;;10 504.33;;:;;10 504.33;;:;;:;;418.81;;840 999.74;;612 172.19;
